periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Cas suspects de paludismes vus dans les structures de santé,Cas suspects de paludisme vu par les ASC,Cas suspects de paludisme ayant été testés par GE/FM,Cas suspects de paludisme ayant été testés par TDR,Cas de paludisme simple confirmés par GE/FM dans les structures santé,Cas de paludisme simple confirmé par les ASC (TDR+),Cas de paludisme simple confirmés par TDR dans les structures santé,Cas de paludisme simple traité avec les CTA dans les structures de santé,Cas de paludisme simple confirmés traités avec CTA par les ASC,Cas de paludisme grave confirmés par GE/FM dans les structures de santé,Cas de paludisme grave confirmés par TDR dans les structures santé,Cas de paludisme grave confirmé traité (Artesunate ou Arthemeter ou Quinine injectable),Cas presumés de paludisme grave par diagnostic clinique (cas testés négatifs traités et non testés traités par antipaludique),Cas presumés de paludisme simple par diagnostic clinique (cas testés négatifs traités et non testés traités par antipaludique),Cas presumés de paludisme par diagnostic clinique (cas testés négatifs traités et non testés traités par CTA) par les ASC
202401,Janvier 2024,202401,,Mali,Bamako,4ème arrondissement,LbfVbpR760L,4ème arrondissement,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bamako,4ème arrondissement,LbfVbpR760L,4ème arrondissement,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bamako,5ème arrondissement,p5EcmhpQr2u,5ème arrondissement,,,KWOoDmCIZ7p,Publique,,,7291,,4516,2768,2870,,763,3616,,638,274,912,,,
202401,Janvier 2024,202401,,Mali,Bamako,5ème arrondissement,p5EcmhpQr2u,5ème arrondissement,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bamako,5ème arrondissement,p5EcmhpQr2u,5ème arrondissement,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bamako,6ème arrondissement,gRIdpuHMlO7,6ème arrondissement,,,KWOoDmCIZ7p,Publique,,,10924,544,6138,4350,3512,105,1983,5495,105,658,377,1035,0,0,
202401,Janvier 2024,202401,,Mali,Bamako,6ème arrondissement,gRIdpuHMlO7,6ème arrondissement,,,LjZFmglR38X,Para publique,,,0,,0,0,0,,0,0,,0,0,0,,,
202401,Janvier 2024,202401,,Mali,Bamako,6ème arrondissement,gRIdpuHMlO7,6ème arrondissement,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bamako,7ème arrondissement,WF2kyHLuVxs,7ème arrondissement,,,KWOoDmCIZ7p,Publique,,,3393,36,2473,920,1383,15,445,1828,15,589,207,796,,,
202401,Janvier 2024,202401,,Mali,Bamako,7ème arrondissement,WF2kyHLuVxs,7ème arrondissement,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bamako,7ème arrondissement,WF2kyHLuVxs,7ème arrondissement,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Sikasso,District  Dandèrèsso,xvHB6sTmTs5,District  Dandèrèsso,,,KWOoDmCIZ7p,Publique,,,819,12,,819,0,9,285,285,9,0,276,276,129,142,9
202401,Janvier 2024,202401,,Mali,Sikasso,District  Dandèrèsso,xvHB6sTmTs5,District  Dandèrèsso,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Sikasso,District  Dandèrèsso,xvHB6sTmTs5,District  Dandèrèsso,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kidal,District Abeibara,NxCk8BjbGLD,District Abeibara,,,KWOoDmCIZ7p,Publique,,,93,,,93,0,,31,31,,0,0,0,3,8,
202401,Janvier 2024,202401,,Mali,Kidal,District Abeibara,NxCk8BjbGLD,District Abeibara,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kidal,District Abeibara,NxCk8BjbGLD,District Abeibara,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kidal,District Achibogho,akjdU0iCQdc,District Achibogho,,,KWOoDmCIZ7p,Publique,,,60,,,60,0,,16,16,,0,5,5,3,6,
202401,Janvier 2024,202401,,Mali,Kidal,District Achibogho,akjdU0iCQdc,District Achibogho,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kidal,District Achibogho,akjdU0iCQdc,District Achibogho,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Achouratt,ueVbyL2bsi0,District Achouratt,,,KWOoDmCIZ7p,Publique,,,213,,,213,0,,116,116,,0,29,29,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Achouratt,ueVbyL2bsi0,District Achouratt,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Achouratt,ueVbyL2bsi0,District Achouratt,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kidal,District Aguel-Hoc,a8taZNGsXhv,District Aguel-Hoc,,,KWOoDmCIZ7p,Publique,,,95,,,95,0,,30,30,,0,3,3,4,13,
202401,Janvier 2024,202401,,Mali,Kidal,District Aguel-Hoc,a8taZNGsXhv,District Aguel-Hoc,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kidal,District Aguel-Hoc,a8taZNGsXhv,District Aguel-Hoc,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Al-Ourche,GROxare0bgl,District Al-Ourche,,,KWOoDmCIZ7p,Publique,,,703,0,0,703,0,,285,285,,0,98,98,0,0,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Al-Ourche,GROxare0bgl,District Al-Ourche,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Al-Ourche,GROxare0bgl,District Al-Ourche,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Gao,District Almoustarat,oMamktjAOd4,District Almoustarat,,,KWOoDmCIZ7p,Publique,,,379,,,371,0,,176,176,,0,94,94,2,2,
202401,Janvier 2024,202401,,Mali,Gao,District Almoustarat,oMamktjAOd4,District Almoustarat,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Gao,District Almoustarat,oMamktjAOd4,District Almoustarat,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Ambidedi,t7J1HAjYG7k,District Ambidedi,,,KWOoDmCIZ7p,Publique,,,1704,4,374,1330,58,1,90,146,1,12,21,33,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Ambidedi,t7J1HAjYG7k,District Ambidedi,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Ambidedi,t7J1HAjYG7k,District Ambidedi,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Menaka,District Anderamboukane,bzElG02ZdeC,District Anderamboukane,,,KWOoDmCIZ7p,Publique,,,664,8,,664,0,2,219,218,2,0,44,44,,,
202401,Janvier 2024,202401,,Mali,Menaka,District Anderamboukane,bzElG02ZdeC,District Anderamboukane,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Menaka,District Anderamboukane,bzElG02ZdeC,District Anderamboukane,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kidal,District Anefif,LsfLs9itFDu,District Anefif,,,KWOoDmCIZ7p,Publique,,,,,,,0,,0,,,0,,,,,
202401,Janvier 2024,202401,,Mali,Kidal,District Anefif,LsfLs9itFDu,District Anefif,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kidal,District Anefif,LsfLs9itFDu,District Anefif,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Menaka,District Anouzgrene,IQCpmaVGhEo,District Anouzgrene,,,KWOoDmCIZ7p,Publique,,,206,22,,206,0,22,97,97,22,0,7,7,,,
202401,Janvier 2024,202401,,Mali,Menaka,District Anouzgrene,IQCpmaVGhEo,District Anouzgrene,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Menaka,District Anouzgrene,IQCpmaVGhEo,District Anouzgrene,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Gao,District Ansongo,oQbUuw0dLiO,District Ansongo,,,KWOoDmCIZ7p,Publique,,,5400,650,355,5262,790,339,2537,2523,329,166,1404,1570,,,
202401,Janvier 2024,202401,,Mali,Gao,District Ansongo,oQbUuw0dLiO,District Ansongo,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Gao,District Ansongo,oQbUuw0dLiO,District Ansongo,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Aourou,Kc8iMuvv6Ap,District Aourou,,,KWOoDmCIZ7p,Publique,,,1355,24,76,1251,27,10,162,152,10,4,33,37,5,48,
202401,Janvier 2024,202401,,Mali,Kayes,District Aourou,Kc8iMuvv6Ap,District Aourou,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Aourou,Kc8iMuvv6Ap,District Aourou,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Arawane,GwnvxMAaoHV,District Arawane,,,KWOoDmCIZ7p,Publique,,,38,,,38,0,,15,15,,0,0,0,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Arawane,GwnvxMAaoHV,District Arawane,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Arawane,GwnvxMAaoHV,District Arawane,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Bafoulabe,frRUz6A3PoY,District Bafoulabe,,,KWOoDmCIZ7p,Publique,,,2648,29,23,2629,2,20,899,896,20,0,434,434,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Bafoulabe,frRUz6A3PoY,District Bafoulabe,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Bafoulabe,frRUz6A3PoY,District Bafoulabe,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Koulikoro,District Baguinéda,wBxYj2hgM1J,District Baguinéda,,,KWOoDmCIZ7p,Publique,,,945,145,147,798,77,105,398,475,105,66,258,324,,,
202401,Janvier 2024,202401,,Mali,Koulikoro,District Baguinéda,wBxYj2hgM1J,District Baguinéda,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Koulikoro,District Baguinéda,wBxYj2hgM1J,District Baguinéda,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Nara,District Ballé,DdrB9hiZev2,District Ballé,,,KWOoDmCIZ7p,Publique,,,1445,26,120,1304,36,13,319,352,13,24,169,193,,,
202401,Janvier 2024,202401,,Mali,Nara,District Ballé,DdrB9hiZev2,District Ballé,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Nara,District Ballé,DdrB9hiZev2,District Ballé,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Gao,District Bamba,xKvAxePCQ7V,District Bamba,,,KWOoDmCIZ7p,Publique,,,1901,,,1901,0,,680,680,,0,265,265,,,
202401,Janvier 2024,202401,,Mali,Gao,District Bamba,xKvAxePCQ7V,District Bamba,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Gao,District Bamba,xKvAxePCQ7V,District Bamba,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Tombouctou,District Bambara Maoudé,wgKON7JTwM6,District Bambara Maoudé,,,KWOoDmCIZ7p,Publique,,,296,,,296,0,,85,85,,0,20,20,,57,
202401,Janvier 2024,202401,,Mali,Tombouctou,District Bambara Maoudé,wgKON7JTwM6,District Bambara Maoudé,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Tombouctou,District Bambara Maoudé,wgKON7JTwM6,District Bambara Maoudé,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Koulikoro,District Banamba,Z2xvsAt2o5a,District Banamba,,,KWOoDmCIZ7p,Publique,,,3491,565,234,3255,60,310,1665,1725,310,22,606,628,0,0,3
202401,Janvier 2024,202401,,Mali,Koulikoro,District Banamba,Z2xvsAt2o5a,District Banamba,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Koulikoro,District Banamba,Z2xvsAt2o5a,District Banamba,,,uD2y9P4ErAF,Confessionnel,,,150,,20,,12,,,12,,7,,7,,,
202401,Janvier 2024,202401,,Mali,Dioila,District Banco,SLDImFbzCI2,District Banco,,,KWOoDmCIZ7p,Publique,,,826,173,57,769,23,103,270,293,103,14,132,146,,,
202401,Janvier 2024,202401,,Mali,Dioila,District Banco,SLDImFbzCI2,District Banco,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Dioila,District Banco,SLDImFbzCI2,District Banco,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bandiagara,District Bandiagara,ttG2x2sOEuw,District Bandiagara,,,KWOoDmCIZ7p,Publique,,,1439,756,169,1270,67,393,576,643,393,58,122,180,,,
202401,Janvier 2024,202401,,Mali,Bandiagara,District Bandiagara,ttG2x2sOEuw,District Bandiagara,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bandiagara,District Bandiagara,ttG2x2sOEuw,District Bandiagara,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bandiagara,District Bankass,GUFCsWIfXBN,District Bankass,,,KWOoDmCIZ7p,Publique,,,2107,792,59,2050,28,248,409,430,248,13,163,176,,,
202401,Janvier 2024,202401,,Mali,Bandiagara,District Bankass,GUFCsWIfXBN,District Bankass,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bandiagara,District Bankass,GUFCsWIfXBN,District Bankass,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Ségou,District Baroueli,lTZ4jOg22OM,District Baroueli,,,KWOoDmCIZ7p,Publique,,,4842,407,506,4361,303,276,1583,1875,276,102,1061,1163,12,61,0
202401,Janvier 2024,202401,,Mali,Ségou,District Baroueli,lTZ4jOg22OM,District Baroueli,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Ségou,District Baroueli,lTZ4jOg22OM,District Baroueli,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Tombouctou,District Ber,CwdPRO8CU71,District Ber,,,KWOoDmCIZ7p,Publique,,,176,,,122,0,,132,132,,0,20,20,,,
202401,Janvier 2024,202401,,Mali,Tombouctou,District Ber,CwdPRO8CU71,District Ber,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Tombouctou,District Ber,CwdPRO8CU71,District Ber,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Tombouctou,District Bintagoungou,HDwzeX2UlHT,District Bintagoungou,,,KWOoDmCIZ7p,Publique,,,126,,,115,0,,22,26,,0,11,12,,,
202401,Janvier 2024,202401,,Mali,Tombouctou,District Bintagoungou,HDwzeX2UlHT,District Bintagoungou,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Tombouctou,District Bintagoungou,HDwzeX2UlHT,District Bintagoungou,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Ségou,District Bla,KDZpgkAAIdR,District Bla,,,KWOoDmCIZ7p,Publique,,,2669,340,142,2526,33,291,1171,1204,291,108,569,677,15,43,
202401,Janvier 2024,202401,,Mali,Ségou,District Bla,KDZpgkAAIdR,District Bla,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Ségou,District Bla,KDZpgkAAIdR,District Bla,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Douentza,District Boni,Xpq1BTcQObK,District Boni,,,KWOoDmCIZ7p,Publique,,,236,108,,236,0,61,73,73,61,0,39,39,,,
202401,Janvier 2024,202401,,Mali,Douentza,District Boni,Xpq1BTcQObK,District Boni,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Douentza,District Boni,Xpq1BTcQObK,District Boni,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Koulikoro,District Boron,gxKKQqYZifA,District Boron,,,KWOoDmCIZ7p,Publique,,,1022,157,0,1022,0,98,349,349,98,0,143,143,0,0,0
202401,Janvier 2024,202401,,Mali,Koulikoro,District Boron,gxKKQqYZifA,District Boron,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Koulikoro,District Boron,gxKKQqYZifA,District Boron,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Douentza,District Boré,acLcU4QndWf,District Boré,,,KWOoDmCIZ7p,Publique,,,309,95,,309,0,63,190,190,63,0,32,32,,,
202401,Janvier 2024,202401,,Mali,Douentza,District Boré,acLcU4QndWf,District Boré,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Douentza,District Boré,acLcU4QndWf,District Boré,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bougouni,District Bougouni,yv9CIMQ1sY5,District Bougouni,,,KWOoDmCIZ7p,Publique,,,3172,65,653,2532,318,52,1282,1583,52,24,489,513,,,
202401,Janvier 2024,202401,,Mali,Bougouni,District Bougouni,yv9CIMQ1sY5,District Bougouni,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bougouni,District Bougouni,yv9CIMQ1sY5,District Bougouni,,,uD2y9P4ErAF,Confessionnel,,,31,,,31,0,,15,15,,0,0,0,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Boujbeha,lHgtA7BKD6a,District Boujbeha,,,KWOoDmCIZ7p,Publique,,,234,,,234,0,,36,36,,0,17,17,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Boujbeha,lHgtA7BKD6a,District Boujbeha,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Taoudenni,District Boujbeha,lHgtA7BKD6a,District Boujbeha,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Gao,District Bourem,zxeLZVCzWLn,District Bourem,,,KWOoDmCIZ7p,Publique,,,2082,,170,1912,34,,937,964,,94,374,468,25,89,
202401,Janvier 2024,202401,,Mali,Gao,District Bourem,zxeLZVCzWLn,District Bourem,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Gao,District Bourem,zxeLZVCzWLn,District Bourem,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Dioila,District Béléco,hmxfYsl8OQ2,District Béléco,,,KWOoDmCIZ7p,Publique,,,845,321,27,818,0,177,85,85,177,7,161,168,,,
202401,Janvier 2024,202401,,Mali,Dioila,District Béléco,hmxfYsl8OQ2,District Béléco,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Dioila,District Béléco,hmxfYsl8OQ2,District Béléco,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Nioro,District Béma,JiVwxv8m0Kk,District Béma,,,KWOoDmCIZ7p,Publique,,,1395,8,,1395,0,3,349,349,3,0,296,296,,,
202401,Janvier 2024,202401,,Mali,Nioro,District Béma,JiVwxv8m0Kk,District Béma,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Nioro,District Béma,JiVwxv8m0Kk,District Béma,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Mopti,District de Korientzé,wrLBgZtg00Z,District de Korientzé,,,KWOoDmCIZ7p,Publique,,,352,84,19,352,19,49,131,150,49,0,45,45,,26,
202401,Janvier 2024,202401,,Mali,Mopti,District de Korientzé,wrLBgZtg00Z,District de Korientzé,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Mopti,District de Korientzé,wrLBgZtg00Z,District de Korientzé,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bandiagara,District Diallassagou,a1pV15Uipo3,District Diallassagou,,,KWOoDmCIZ7p,Publique,,,1785,1136,,1785,0,587,531,531,587,0,121,121,,,
202401,Janvier 2024,202401,,Mali,Bandiagara,District Diallassagou,a1pV15Uipo3,District Diallassagou,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bandiagara,District Diallassagou,a1pV15Uipo3,District Diallassagou,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Diamou,cR8vM4gVIBy,District Diamou,,,KWOoDmCIZ7p,Publique,,,406,21,21,385,2,10,77,79,10,0,28,28,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Diamou,cR8vM4gVIBy,District Diamou,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Kayes,District Diamou,cR8vM4gVIBy,District Diamou,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Nioro,District Diangounté Camara,KZPSErwurOz,District Diangounté Camara,,,KWOoDmCIZ7p,Publique,,,1279,10,,1279,0,1,152,152,1,0,14,14,,,
202401,Janvier 2024,202401,,Mali,Nioro,District Diangounté Camara,KZPSErwurOz,District Diangounté Camara,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Nioro,District Diangounté Camara,KZPSErwurOz,District Diangounté Camara,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Koulikoro,District Didiéni,oIFDpYTGBQO,District Didiéni,,,KWOoDmCIZ7p,Publique,,,641,61,40,607,58,27,159,148,27,29,119,107,,,
202401,Janvier 2024,202401,,Mali,Koulikoro,District Didiéni,oIFDpYTGBQO,District Didiéni,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
